#,Company,Location,# Laid Off,Date,%,Industry
466,Intuit,SF Bay Area,715,6/22/2020,7%,Finance
467,WeWork,London     No,200,6/19/2020,,Real Estate
468,Atlas Obscura,New York …,15,6/18/2020,,Media
,,,,,,
469,Navi,Bengaluru,40,6/17/2020,25%,Finance
470,PaisaBazaar,Gurugram     N,1500,6/16/2020,50%,Finance
471,Grab,Singapore,360,6/16/2020,5%,Transport…
472,Splunk,SF Bay Area,70,6/16/2020,1%,Data
473,Redox,Madison,44,6/16/2020,25%,Healthcare
474,Conga,Denver,,6/15/2020,11%,Data
475,Stockwell AI,SF Bay Area,,6/15/2020,100%,Retail
476,Uber,Amsterdam,225,6/12/2020,25%,Transport…
477,SynapseFI,SF Bay Area,63,6/12/2020,48%,Finance
478,ScaleFocus,Sofia     Non-,120,6/11/2020,10%,Infrastruc…
479,Branch,New York …,3,6/11/2020,27%,Retail
480,Her Campus Me…,Boston,10,6/10/2020,18%,Media
481,Integrate.ai,Toronto     No,26,6/9/2020,,Support
482,The Athletic,SF Bay Area,46,6/5/2020,8%,Media
483,Ethos Life,SF Bay Area,18,6/5/2020,14%,Finance
484,Lastline,SF Bay Area,50,6/4/2020,40%,Security
485,Builder,Los Angeles,39,6/4/2020,14%,Product
486,Outdoorsy,SF Bay Area,,6/4/2020,,Transport…
487,Monzo,London     No,120,6/3/2020,8%,Finance
488,Kitty Hawk,SF Bay Area,70,6/3/2020,,Aerospace
489,SpotHero,Chicago,40,6/3/2020,21%,Transport…
490,Credit Sesame,SF Bay Area,22,6/3/2020,14%,Finance
491,Circ,Berlin     Non-,100,6/2/2020,,Transport…
492,Rivian,Detroit,40,6/2/2020,2%,Transport…
493,Fundbox,SF Bay Area,14,6/2/2020,15%,Finance
494,Descartes Labs,Santa Fe,12,6/2/2020,16%,Data
495,MakerBot,New York …,12,6/2/2020,,Consumer
496,Stitch Fix,SF Bay Area,1400,6/1/2020,18%,Retail
497,MakeMyTrip,Gurugram     N,350,6/1/2020,10%,Travel
498,CrowdStreet,Portland,24,6/1/2020,22%,Real Estate
499,Brex,SF Bay Area,62,5/29/2020,15%,Finance
500,Loftium,Seattle,32,5/29/2020,60%,Real Estate
501,BookMyShow,Mumbai     No,270,5/28/2020,18%,Consumer
502,TrueCar,Los Angeles,219,5/28/2020,30%,Transport…
503,StubHub,SF Bay Area,200,5/28/2020,,Consumer
504,Culture Amp,Melbourne,36,5/28/2020,8%,HR
505,The Sill,New York …,20,5/28/2020,25%,Retail
506,Instructure,Salt Lake …,150,5/27/2020,12%,Education
507,Ebanx,Curitiba     No,62,5/27/2020,8%,Finance
508,Uber,Bengaluru,600,5/26/2020,23%,Transport…
509,Bluprint,Denver,137,5/26/2020,100%,Education
510,Acorns,Portland,50,5/26/2020,,Finance
511,CarDekho,Gurugram     N,200,5/25/2020,,Transport…
512,Teamwork,Cork     Non-U,21,5/22/2020,,Other
513,Cvent,Washingt…,400,5/21/2020,10%,Marketing
514,PickYourTrail,Chennai     No,70,5/21/2020,35%,Travel
515,Glitch,New York …,18,5/21/2020,36%,Product
516,Kapten / Free Now,Paris     Non-U,,5/21/2020,,Transport…
517,Ola,Bengaluru,1400,5/20/2020,35%,Transport…
518,Samsara,SF Bay Area,300,5/20/2020,18%,Logistics
,,,,,,
519,Stay Alfred,Spokane,221,5/20/2020,100%,Travel
520,SoFi,SF Bay Area,112,5/20/2020,7%,Finance
521,ShareChat,Bengaluru,101,5/20/2020,25%,Marketing
522,Intercom,SF Bay Area,39,5/20/2020,6%,Support
523,Livspace,Bengaluru,450,5/19/2020,15%,Retail
524,Pollen,London     No,69,5/19/2020,31%,Travel
525,Dotscience,London     No,10,5/19/2020,100%,Product
526,Divvy,Salt Lake …,,5/19/2020,,Finance
527,Uber,SF Bay Area,3000,5/18/2020,13%,Transport…
528,Agoda,Singapore,1500,5/18/2020,25%,Travel
529,Swiggy,Bengaluru,1100,5/18/2020,14%,Food
530,WeWork,New Delhi     N,100,5/18/2020,20%,Real Estate
531,Rubrik,SF Bay Area,57,5/18/2020,,Infrastruc…
532,Intapp,SF Bay Area,45,5/18/2020,5%,Legal
533,Checkmarx,Tel Aviv     No,,5/18/2020,,Security
534,Datera,SF Bay Area,,5/18/2020,10%,Infrastruc…
535,Magicbricks,Noida     Non-,250,5/17/2020,,Real Estate
536,Zomato,Gurugram     N,520,5/15/2020,13%,Food
537,Lendingkart,Ahmedabad,500,5/15/2020,50%,Finance
538,Lattice,SF Bay Area,16,5/15/2020,10%,HR
539,Masse,New York …,,5/15/2020,100%,Retail
540,Cruise,SF Bay Area,150,5/14/2020,8%,Transport…
541,Quartz,New York …,80,5/14/2020,40%,Media
542,Integral Ad Scien…,New York …,70,5/14/2020,10%,Marketing
543,Ridecell,,35,5/14/2020,15%,Transport…
,,SF Bay Area,,,,
544,Veem,SF Bay Area,30,5/14/2020,,Finance
545,Sift,SF Bay Area,,5/14/2020,,Security
546,Workfront,Salt Lake …,,5/14/2020,,Marketing
547,Deliv,SF Bay Area,669,5/13/2020,100%,Retail
548,Mercos,Joinville     No,51,5/13/2020,40%,Sales
549,Kickstarter,New York …,25,5/13/2020,18%,Finance
550,Intersect,Toronto     No,19,5/13/2020,11%,Product
551,Mode Analytics,SF Bay Area,17,5/13/2020,,Data
552,BetterCloud,New York …,,5/13/2020,,Security
553,WeFit,Hanoi     Non-,,5/13/2020,100%,Fitness
554,Zymergen,SF Bay Area,,5/13/2020,10%,Other
555,Stone,Sao Paulo     N,1300,5/12/2020,20%,Finance
556,Zeus Living,SF Bay Area,73,5/12/2020,50%,Real Estate
557,Mixpanel,SF Bay Area,65,5/12/2020,19%,Data
558,Hireology,Chicago,36,5/12/2020,17%,Recruiting
559,Top Hat,Toronto     No,16,5/12/2020,3%,Education
560,Datto,Norwalk,,5/12/2020,,Infrastruc…
561,Petal,New York …,,5/12/2020,,Finance
562,Revolut,London     No,60,5/11/2020,3%,Finance
563,Cadre,New York …,28,5/11/2020,25%,Real Estate
564,N26,New York …,9,5/8/2020,1%,Finance
565,Jump,New York …,500,5/7/2020,100%,Transport…
566,Glassdoor,SF Bay Area,300,5/7/2020,30%,Recruiting
567,Numbrs,Zurich     Non,62,5/7/2020,50%,Finance
,,,,,,
568,Flywire,Boston,60,5/7/2020,12%,Finance
569,SalesLoft,Atlanta,55,5/7/2020,,Sales
570,Tally,SF Bay Area,28,5/7/2020,23%,Finance
571,Airy Rooms,Jakarta     Non,,5/7/2020,100%,Travel
572,Uber,SF Bay Area,3700,5/6/2020,14%,Transport…
573,Validity,Boston,130,5/6/2020,33%,Data
574,Flatiron School,New York …,100,5/6/2020,,Education
575,Rubicon Project,Los Angeles,50,5/6/2020,8%,Marketing
576,Segment,SF Bay Area,50,5/6/2020,10%,Data
577,OPay,Lagos     Non-,,5/6/2020,70%,Finance
578,ThoughtSpot,SF Bay Area,,5/6/2020,,Data
579,Airbnb,SF Bay Area,1900,5/5/2020,25%,Travel
580,Juul,SF Bay Area,900,5/5/2020,30%,Consumer
581,Andela,New York …,135,5/5/2020,10%,Recruiting
582,Stack Overflow,New York …,40,5/5/2020,15%,Recruiting
583,Pipedrive,Tallin     Non-,31,5/5/2020,,Sales
584,Workable,Boston,25,5/5/2020,10%,Recruiting
585,Cloudera,SF Bay Area,,5/5/2020,,Infrastruc…
586,Handshake,SF Bay Area,,5/5/2020,,Recruiting
587,League,Toronto     No,,5/5/2020,,Healthcare
588,CureFit,Bengaluru,800,5/4/2020,16%,Fitness
589,Careem,Dubai     Non-,536,5/4/2020,31%,Transport…
590,Oriente,Hong Kong,400,5/4/2020,20%,Finance
591,Veriff,Tallin     Non-,63,5/4/2020,21%,Security
592,Element AI,,62,5/4/2020,15%,Other
,,Montreal     N,,,,
593,Deputy,Sydney     Non,60,5/4/2020,30%,HR
594,Loopio,Toronto     No,11,5/4/2020,8%,Sales
595,Castlight Health,SF Bay Area,,5/4/2020,13%,Healthcare
596,Trivago,Dusseldorf,,5/4/2020,,Travel
597,Trax,Tel Aviv     No,120,5/3/2020,10%,Retail
598,LiveTiles,New York …,50,5/3/2020,,Other
599,OYO,London     No,150,5/1/2020,,Travel
600,Namely,New York …,110,5/1/2020,40%,HR
601,Culture Trip,London     No,95,5/1/2020,32%,Media
602,Sandbox VR,SF Bay Area,80,5/1/2020,80%,Consumer
603,Virtudent,Boston,70,5/1/2020,,Healthcare
604,Monese,Lisbon     Non,35,5/1/2020,,Finance
605,TheSkimm,New York …,26,5/1/2020,20%,Media
606,Automatic,SF Bay Area,,5/1/2020,100%,Transport…
607,Flynote,Bengaluru,,5/1/2020,,Travel
608,Bullhorn,Boston,100,4/30/2020,,Sales
609,Care.com,Boston,81,4/30/2020,,Consumer
610,AirMap,Los Angeles,,4/30/2020,,Aerospace
611,Cohesity,SF Bay Area,,4/30/2020,,Data
612,Fandom,SF Bay Area,,4/30/2020,14%,Media
613,PicoBrew,Seattle,,4/30/2020,100%,Food
614,Lyft,SF Bay Area,982,4/29/2020,17%,Transport…
615,WeWork,SF Bay Area,300,4/29/2020,,Real Estate
616,Kayak / OpenTable,Stamford,160,4/29/2020,8%,Travel
,,,,,,
617,Kitopi,New York …,124,4/29/2020,,Food
618,Lime,SF Bay Area,80,4/29/2020,13%,Transport…
619,Transfix,New York …,24,4/29/2020,10%,Logistics
620,Yoco,Cape Town,,4/29/2020,,Finance
621,TripAdvisor,Boston,900,4/28/2020,25%,Travel
622,Renmoney,Lagos     Non-,391,4/28/2020,50%,Finance
623,Deliveroo,London     No,367,4/28/2020,15%,Food
624,App Annie,SF Bay Area,80,4/28/2020,18%,Data
625,OpenX,Los Angeles,35,4/28/2020,15%,Marketing
626,PayJoy,SF Bay Area,27,4/28/2020,25%,Finance
627,Shipsi,Los Angeles,20,4/28/2020,50%,Retail
628,Desktop Metal,Boston,,4/28/2020,,Other
629,Migo,SF Bay Area,,4/28/2020,25%,Finance
630,Automation Any…,SF Bay Area,260,4/27/2020,10%,Other
631,JetClosing,Seattle,20,4/27/2020,20%,Real Estate
632,Qwick,Phoenix,,4/27/2020,70%,Recruiting
633,OYO,Sao Paulo     N,500,4/25/2020,,Travel
634,Stoqo,Jakarta     Non,250,4/25/2020,100%,Food
635,Submittable,Missoula,30,4/25/2020,20%,Other
636,Divergent 3D,Los Angeles,57,4/24/2020,36%,Transport…
637,Ada Support,Toronto     No,36,4/24/2020,23%,Support
638,UPshow,Chicago,19,4/24/2020,30%,Marketing
639,Lighter Capital,Seattle,18,4/24/2020,22%,Finance
640,Horizn Studios,Berlin     Non-,15,4/24/2020,25%,Travel
641,Welkin Health,,10,,33%,
,,SF Bay Area,,4/24/2020,,Healthcare
642,Jiobit,Chicago,6,4/24/2020,21%,Consumer
643,TutorMundi,Sao Paulo     N,4,4/24/2020,100%,Education
644,Cheddar,New York …,,4/24/2020,,Media
645,GoCardless,London     No,,4/24/2020,,Finance
646,StockX,Detroit,100,4/23/2020,12%,Retail
647,Zenefits,SF Bay Area,87,4/23/2020,15%,HR
648,Sisense,New York …,80,4/23/2020,9%,Data
649,Oscar Health,New York …,70,4/23/2020,5%,Healthcare
650,Simon Data,New York …,6,4/23/2020,,Marketing
651,Convoy,Seattle,,4/23/2020,1%,Logistics
652,PowerReviews,Chicago,,4/23/2020,,Retail
653,Singular,SF Bay Area,,4/23/2020,,Marketing
654,Magic Leap,Miami,1000,4/22/2020,50%,Consumer
655,When I Work,Minneapolis,55,4/22/2020,35%,HR
656,Ike,SF Bay Area,10,4/22/2020,14%,Transport…
657,Airy Rooms,Jakarta     Non,,4/22/2020,70%,Travel
658,Clearbit,SF Bay Area,,4/22/2020,,Data
659,ExtraHop,Seattle,,4/22/2020,,Security
660,Nearmap,Sydney     Non,,4/22/2020,10%,Construct…
661,Swiggy,Bengaluru,800,4/21/2020,,Food
662,Paytm,New Delhi     N,500,4/21/2020,,Finance
663,Lending Club,SF Bay Area,460,4/21/2020,30%,Finance
664,Houzz,SF Bay Area,155,4/21/2020,10%,Consumer
665,Casper,New York …,78,4/21/2020,21%,Retail
,,,,,,
666,Freshbooks,Toronto     No,38,4/21/2020,9%,Finance
667,Patreon,SF Bay Area,30,4/21/2020,13%,Media
668,Lambda School,SF Bay Area,19,4/21/2020,,Education
669,Politico / Protocol,Washingt…,13,4/21/2020,,Media
670,Bringg,Tel Aviv     No,10,4/21/2020,10%,Logistics
671,RealSelf,Seattle,,4/21/2020,,Healthcare
672,Klook,Hong Kong,300,4/20/2020,15%,Travel
673,ConsenSys,New York …,91,4/20/2020,14%,Crypto
674,GumGum,Los Angeles,90,4/20/2020,25%,Marketing
675,Kueski,Guadalajara,90,4/20/2020,30%,Finance
676,Movidesk,Blumenau     N,33,4/20/2020,25%,Support
677,Zum,SF Bay Area,28,4/20/2020,,Transport…
678,Komodo Health,SF Bay Area,23,4/20/2020,9%,Healthcare
679,Forward,SF Bay Area,10,4/20/2020,3%,Healthcare
680,Hipcamp,SF Bay Area,,4/20/2020,60%,Travel
681,Motif Investing,SF Bay Area,,4/18/2020,100%,Finance
682,BlackBuck,Bengaluru,200,4/17/2020,,Logistics
683,ContaAzul,Joinville     No,140,4/17/2020,35%,Education
684,Greenhouse Soft…,New York …,120,4/17/2020,28%,Recruiting
685,QuintoAndar,Sao Paulo     N,88,4/17/2020,8%,Real Estate
686,Loft,Sao Paulo     N,47,4/17/2020,10%,Real Estate
687,Zilingo,Singapore,44,4/17/2020,5%,Retail
688,Labster,Copenhag…,40,4/17/2020,,Education
689,Sweetgreen,Los Angeles,35,4/17/2020,10%,Food
,People.ai,,30,4/17/2020,18%,
690,,SF Bay Area,,,,Marketing
691,Tor,Boston,13,4/17/2020,37%,Security
692,BitGo,SF Bay Area,,4/17/2020,12%,Crypto
693,Dispatch,Boston,,4/17/2020,38%,Other
694,Food52,New York …,,4/17/2020,,Food
695,Influitive,Toronto     No,,4/17/2020,,Marketing
696,CarGurus,Boston,130,4/16/2020,13%,Transport…
697,Funding Societies,Singapore,65,4/16/2020,18%,Finance
698,CleverTap,Mumbai     No,60,4/16/2020,20%,Marketing
699,CrowdRiff,Toronto     No,,4/16/2020,,Marketing
700,FullStory,Atlanta,,4/16/2020,,Marketing
701,Grailed,New York …,,4/16/2020,,Retail
702,LumenAd,Missoula,,4/16/2020,,Marketing
703,Purse,SF Bay Area,,4/16/2020,100%,Crypto
704,SquadVoice,Columbus,,4/16/2020,,Real Estate
705,Opendoor,SF Bay Area,600,4/15/2020,35%,Real Estate
706,GoPro,SF Bay Area,200,4/15/2020,20%,Consumer
707,Shop101,Mumbai     No,200,4/15/2020,40%,Retail
708,Zume,SF Bay Area,200,4/15/2020,67%,Food
709,Carta,SF Bay Area,161,4/15/2020,16%,Finance
710,Akulaku,Jakarta     Non,100,4/15/2020,,Finance
711,Parsable,SF Bay Area,40,4/15/2020,25%,HR
712,Kodiak Robotics,SF Bay Area,15,4/15/2020,20%,Transport…
713,Tulip Retail,Toronto     No,14,4/15/2020,,Retail
714,Trove Recommer…,SF Bay Area,13,4/15/2020,,Retail
715,Dude Solutions,Raleigh,,4/15/2020,20%,Other
716,SweetEscape,Jakarta     Non,,4/15/2020,30%,Consumer
717,View,SF Bay Area,,4/15/2020,,Energy
718,The RealReal,SF Bay Area,235,4/14/2020,10%,Retail
719,TouchBistro,Toronto     No,131,4/14/2020,23%,Food
720,Envoy,SF Bay Area,58,4/14/2020,30%,HR
721,VSCO,SF Bay Area,45,4/14/2020,35%,Consumer
722,Skillz,SF Bay Area,21,4/14/2020,,Consumer
723,DataStax,SF Bay Area,15,4/14/2020,,Data
724,Xerpa,Sao Paulo     N,10,4/14/2020,,HR
725,Aura Financial,SF Bay Area,,4/14/2020,,Finance
726,RedDoorz,Singapore,,4/14/2020,,Travel
727,Groupon,Chicago,2800,4/13/2020,44%,Retail
728,Zoox,SF Bay Area,100,4/13/2020,10%,Transport…
729,Neon,Sao Paulo     N,70,4/13/2020,10%,Finance
730,EasyPost,SF Bay Area,50,4/13/2020,25%,Logistics
731,Clearbanc,Toronto     No,17,4/13/2020,8%,Finance
732,Meow Wolf,Santa Fe,201,4/10/2020,,Media
733,Frontdesk,Milwaukee,35,4/10/2020,16%,Travel
734,BeeTech,Sao Paulo     N,30,4/10/2020,,Finance
735,Built In,Chicago,28,4/10/2020,,Recruiting
736,NuoDB,Boston,20,4/10/2020,29%,Data
737,Rhumbix,SF Bay Area,16,4/10/2020,27%,Construct…
738,Atsu,Seattle,6,4/10/2020,100%,Infrastruc…
739,Geekwire,Seattle,5,4/10/2020,31%,Media
740,FloQast,Los Angeles,,4/10/2020,,Finance
741,Yelp,SF Bay Area,1000,4/9/2020,17%,Consumer
742,Monzo,Las Vegas,165,4/9/2020,,Finance
743,OneTrust,Atlanta,150,4/9/2020,10%,Legal
744,Omie,Sao Paulo     N,136,4/9/2020,31%,Finance
745,Domo,Salt Lake …,90,4/9/2020,10%,Data
746,Matterport,SF Bay Area,90,4/9/2020,34%,Data
747,Clinc,Ann Arbor,40,4/9/2020,32%,Support
748,Mejuri,Toronto     No,36,4/9/2020,15%,Retail
749,Code42,Minneapolis,25,4/9/2020,5%,Data
750,Lighthouse Labs,Toronto     No,14,4/9/2020,7%,Education
751,LoopMe,London     No,8,4/9/2020,4%,Marketing
752,CipherTrace,SF Bay Area,,4/9/2020,,Crypto
753,Elliptic,London     No,,4/9/2020,30%,Crypto
754,Zest AI,Los Angeles,,4/9/2020,,Finance
755,Eventbrite,SF Bay Area,500,4/8/2020,45%,Consumer
756,Meesho,Bengaluru,200,4/8/2020,28%,Retail
757,Scoop,SF Bay Area,92,4/8/2020,33%,Transport…
758,Unison,SF Bay Area,89,4/8/2020,45%,Finance
759,Lever,SF Bay Area,86,4/8/2020,40%,Recruiting
760,Unbabel,Lisbon     Non,80,4/8/2020,35%,Support
761,Button,New York …,48,4/8/2020,35%,Marketing
762,Eden / Managed …,New York …,40,4/8/2020,40%,Real Estate
763,Quantcast,SF Bay Area,30,4/8/2020,5%,Marketing
,BVAccel,,25,4/8/2020,25%,
764,,San Diego,,,,Marketing
765,VideoAmp,Los Angeles,21,4/8/2020,10%,Marketing
766,Kenoby,Sao Paulo     N,18,4/8/2020,16%,Recruiting
767,Connected,Toronto     No,17,4/8/2020,10%,Product
768,GetNinjas,Sao Paulo     N,11,4/8/2020,10%,Consumer
769,Spyce,Boston,4,4/8/2020,12%,Food
770,Creditas,Sao Paulo     N,,4/8/2020,6%,Finance
771,Lytics,Portland,,4/8/2020,,Marketing
772,RedDoorz,Singapore,,4/8/2020,10%,Travel
773,Slice Labs,New York …,,4/8/2020,,Finance
774,TechAdvance,Lagos     Non-,,4/8/2020,,Finance
775,Zola,New York …,,4/8/2020,20%,Retail
776,Toast,Boston,1300,4/7/2020,50%,Food
777,ezCater,Boston,400,4/7/2020,44%,Food
778,Sage Therapeutics,Boston,340,4/7/2020,53%,Healthcare
779,Redfin,Seattle,236,4/7/2020,7%,Real Estate
780,Branch Metrics,SF Bay Area,100,4/7/2020,20%,Marketing
781,Newfront Insuran…,SF Bay Area,94,4/7/2020,,Finance
782,Ibotta,Denver,87,4/7/2020,15%,Retail
783,Virta Health,SF Bay Area,65,4/7/2020,,Healthcare
784,Away,New York …,60,4/7/2020,10%,Retail
785,MediaMath,New York …,53,4/7/2020,8%,Marketing
786,Group Nine Media,New York …,50,4/7/2020,7%,Media
787,Payfactors,Boston,46,4/7/2020,,HR
788,Nav,Salt Lake …,30,4/7/2020,,Finance
789,AskNicely,Portland,,4/7/2020,,Support
790,RainFocus,Salt Lake …,,4/7/2020,,Marketing
791,Metromile,SF Bay Area,100,4/6/2020,33%,Finance
792,Rock Content,Belo Horiz…,100,4/6/2020,20%,Marketing
793,BounceX,New York …,77,4/6/2020,20%,Marketing
794,C6 Bank,Sao Paulo     N,60,4/6/2020,6%,Finance
795,Wordstream,Boston,26,4/6/2020,10%,Marketing
796,Cogito,Boston,24,4/6/2020,14%,Support
797,BusBud,Montreal     N,23,4/6/2020,32%,Transport…
798,Borrowell,Toronto     No,15,4/6/2020,20%,Finance
799,PerkSpot,Chicago,10,4/6/2020,10%,HR
800,Bitfarms,Quebec     No,,4/6/2020,,Crypto
801,Hopper,Boston,,4/6/2020,,Travel
802,Mapbox,Washingt…,,4/6/2020,,Data
803,Astra,SF Bay Area,40,4/5/2020,25%,Aerospace
804,Iflix,Kuala Lum…,50,4/4/2020,12%,Consumer
805,Gympass,Sao Paulo     N,467,4/3/2020,33%,Fitness
806,Sojern,SF Bay Area,300,4/3/2020,50%,Marketing
807,MaxMilhas,Belo Horiz…,167,4/3/2020,42%,Travel
808,Minted,SF Bay Area,147,4/3/2020,37%,Retail
809,Velodyne Lidar,SF Bay Area,140,4/3/2020,,Transport…
810,Zoox,SF Bay Area,120,4/3/2020,,Transport…
811,Traveloka,Jakarta     Non,100,4/3/2020,10%,Travel
812,Arrive Logistics,Austin,75,4/3/2020,7%,Logistics
,,,,,,
813,Salsify,Boston,60,4/3/2020,13%,Retail
814,Jetty,New York …,35,4/3/2020,40%,Finance
815,D2iQ,SF Bay Area,34,4/3/2020,13%,Infrastruc…
816,Bustle Digital Gr…,New York …,24,4/3/2020,8%,Media
817,Opencare,Toronto     No,18,4/3/2020,25%,Healthcare
818,Anagram,Los Angeles,17,4/3/2020,,Healthcare
819,G/O Media Group,New York …,14,4/3/2020,5%,Media
820,DSCO,Salt Lake …,12,4/3/2020,,Retail
821,Tripbam,Dallas,10,4/3/2020,25%,Travel
822,Avantage Enterta…,Minneapolis,5,4/3/2020,20%,Media
823,Alegion,Austin,,4/3/2020,,Data
824,AllyO,SF Bay Area,,4/3/2020,,HR
825,Mews,Prague     Non,,4/3/2020,,Travel
826,PeopleGrove,SF Bay Area,,4/3/2020,,HR
827,The Muse,New York …,,4/3/2020,,Recruiting
828,The Wing,New York …,,4/3/2020,50%,Real Estate
829,MindBody,San Luis …,700,4/2/2020,35%,Fitness
830,Katerra,SF Bay Area,240,4/2/2020,3%,Construct…
831,Ritual,Toronto     No,196,4/2/2020,54%,Food
832,ClassPass,New York …,154,4/2/2020,22%,Fitness
833,eGym,Munich     Non,100,4/2/2020,25%,Fitness
834,Voi,Stockholm,100,4/2/2020,,Transport…
835,Industrious,New York …,90,4/2/2020,20%,Real Estate
836,1stdibs,New York …,70,4/2/2020,17%,Retail
837,ThirdLove,SF Bay Area,65,4/2/2020,30%,Retail
838,Latch,New York …,60,4/2/2020,,Security
839,The Predictive In…,Boston,59,4/2/2020,25%,HR
840,Shuttl,New Delhi     N,40,4/2/2020,,Transport…
841,Jobcase,Boston,39,4/2/2020,20%,Recruiting
842,Copper,SF Bay Area,35,4/2/2020,,Marketing
843,Dynamic Signal,SF Bay Area,35,4/2/2020,19%,HR
844,FiscalNote,Washingt…,30,4/2/2020,,Media
845,Sauce Labs,SF Bay Area,30,4/2/2020,15%,Infrastruc…
846,Humu,SF Bay Area,26,4/2/2020,,HR
847,TripleLift,New York …,23,4/2/2020,7%,Marketing
848,Coding Dojo,Seattle,7,4/2/2020,7%,Education
849,Instamojo,Bengaluru,6,4/2/2020,6%,Finance
850,Synergysuite,Salt Lake …,5,4/2/2020,7%,Food
851,Atlanta Tech Villa…,Atlanta,,4/2/2020,50%,Real Estate
852,Capillary,Bengaluru,,4/2/2020,,Retail
853,Modsy,SF Bay Area,,4/2/2020,,Retail
854,The Modist,Dubai     Non-,,4/2/2020,100%,Retail
855,Wonder,New York …,,4/2/2020,,Other
856,Booksy,SF Bay Area,200,4/1/2020,,Consumer
857,Flymya,Yangon     Non,200,4/1/2020,33%,Travel
858,PatientPop,Los Angeles,100,4/1/2020,20%,Healthcare
859,Showpad,Chicago,52,4/1/2020,12%,Marketing
860,Highsnobiety,Berlin     Non-,51,4/1/2020,25%,Media
861,Earnin,SF Bay Area,50,4/1/2020,20%,Finance
,,,,,,
862,Wonolo,SF Bay Area,46,4/1/2020,13%,Recruiting
863,Acko,Mumbai     No,45,4/1/2020,9%,Finance
864,Moovel,Portland,28,4/1/2020,37%,Transport…
865,Aqua Security,Tel Aviv     No,24,4/1/2020,9%,Security
866,Crayon,Boston,20,4/1/2020,20%,Marketing
867,Pana,Denver,18,4/1/2020,,Travel
868,Sensibill,Toronto     No,17,4/1/2020,20%,Finance
869,Usermind,Seattle,15,4/1/2020,25%,Marketing
870,Incredible Health,SF Bay Area,9,4/1/2020,40%,Healthcare
871,Currency,Los Angeles,,4/1/2020,,Finance
872,GOAT Group,Los Angeles,,4/1/2020,,Retail
873,Le Tote,SF Bay Area,,4/1/2020,50%,Retail
874,Levelset,New Orlea…,,4/1/2020,,Construct…
875,Pebblepost,New York …,,4/1/2020,60%,Marketing
876,WhyHotel,Washingt…,,4/1/2020,50%,Travel
877,KeepTruckin,SF Bay Area,349,3/31/2020,18%,Logistics
878,AdRoll,Salt Lake …,210,3/31/2020,30%,Marketing
879,Rover,Seattle,194,3/31/2020,41%,Consumer
880,Turo,SF Bay Area,108,3/31/2020,30%,Transport…
881,uShip,Austin,65,3/31/2020,37%,Logistics
882,SkySlope,Sacramento,50,3/31/2020,25%,Real Estate
883,Siteimprove,Minneapolis,40,3/31/2020,,Marketing
884,AngelList,SF Bay Area,20,3/31/2020,,Recruiting
885,Zenoti,Seattle,17,3/31/2020,4%,Fitness
886,DialSource,Sacramento,5,3/31/2020,14%,Marketing
887,Adara,SF Bay Area,,3/31/2020,,Travel
888,Claravine,Salt Lake …,,3/31/2020,,Marketing
889,Domio,New York …,,3/31/2020,30%,Travel
890,Kazoo,Austin,,3/31/2020,35%,HR
891,Snap Finance,Salt Lake …,,3/31/2020,,Finance
892,Zerto,Boston,,3/31/2020,,Infrastruc…
893,Thumbtack,SF Bay Area,250,3/30/2020,30%,Consumer
894,RigUp,Austin,120,3/30/2020,25%,Energy
895,FabHotels,New Delhi     N,80,3/30/2020,20%,Travel
896,Hibob,Tel Aviv     No,70,3/30/2020,30%,HR
897,PeerStreet,Los Angeles,51,3/30/2020,30%,Finance
898,Maven,Seattle,31,3/30/2020,9%,Media
899,Blume Global,SF Bay Area,30,3/30/2020,10%,Logistics
900,Catalant,Boston,30,3/30/2020,,Other
901,Starship Technol…,Tallin     Non-,30,3/30/2020,,Transport…
902,Loftsmart,New York …,25,3/30/2020,75%,Real Estate
903,Caliva,SF Bay Area,20,3/30/2020,,Retail
904,Iris Nova,New York …,9,3/30/2020,50%,Food
905,Cuyana,SF Bay Area,,3/30/2020,,Retail
906,ZipRecruiter,Los Angeles,400,3/29/2020,39%,Recruiting
907,Amplero,Seattle,17,3/29/2020,100%,Marketing
908,Polarr,SF Bay Area,10,3/29/2020,,Consumer
909,TravelTriangle,Gurugram     N,250,3/28/2020,50%,Travel
910,WeWork,New York …,250,3/28/2020,,Real Estate
,,,,,,
911,Rent the Runway,New York …,,3/28/2020,,Retail
912,OneWeb,London     No,451,3/27/2020,85%,Aerospace
913,Bird,Los Angeles,406,3/27/2020,30%,Transport…
914,HOOQ,Singapore,250,3/27/2020,100%,Consumer
915,Everlane,SF Bay Area,227,3/27/2020,,Retail
916,DataRobot,Boston,200,3/27/2020,,Data
917,Restaurant365,Los Angeles,175,3/27/2020,,Food
918,Blueground,New York …,130,3/27/2020,25%,Real Estate
919,Knotel,New York …,127,3/27/2020,30%,Real Estate
920,Getaround,SF Bay Area,100,3/27/2020,25%,Transport…
921,Zipcar,Boston,100,3/27/2020,20%,Transport…
922,Mogo,Vancouver,78,3/27/2020,30%,Finance
923,DISCO,Austin,75,3/27/2020,,Legal
924,Raken,San Diego,60,3/27/2020,,Construct…
925,Bench,Vancouver,47,3/27/2020,10%,Finance
926,Loft,Sao Paulo     N,47,3/27/2020,,Real Estate
927,Oh My Green,SF Bay Area,40,3/27/2020,,Food
