#,Company,Location,# Laid Off,Date,%,Industry
105,Circulo Health,Columbus,,6/16/2022,50%,Healthcare
106,Swappie,Helsinki     No,250,6/15/2022,17%,Retail
107,Wealthsimple,Toronto     No,159,6/15/2022,13%,Finance
108,Weee!,SF Bay Area,150,6/15/2022,10%,Food
109,Notarize,Boston,110,6/15/2022,25%,Legal
110,Elementor,Tel Aviv     No,60,6/15/2022,15%,Media
111,Tonkean,SF Bay Area,23,6/15/2022,23%,Other
112,Airtame,Copenhag…,15,6/15/2022,,Consumer
113,OpenWeb,Tel Aviv     No,14,6/15/2022,5%,Media
114,Swyft,Toronto     No,10,6/15/2022,30%,Logistics
115,Crehana,Lima     Non-U,,6/15/2022,,Education
116,Coinbase,SF Bay Area,1100,6/14/2022,18%,Crypto
117,Redfin,Seattle,470,6/14/2022,8%,Real Estate
118,Compass,New York …,450,6/14/2022,10%,Real Estate
119,Sami,Sao Paulo     N,75,6/14/2022,15%,Healthcare
120,Breathe,New Delhi     N,50,6/14/2022,33%,Healthcare
121,Hunty,Bogota     Non,30,6/14/2022,,HR
122,TIFIN,Boulder,24,6/14/2022,10%,Crypto
123,Addi,Bogota     Non,,6/14/2022,,Finance
,,,,,,
124,Shopee,Singapore,,6/14/2022,,Food
125,BlockFi,New York …,250,6/13/2022,20%,Crypto
126,Wave Sports and…,Los Angeles,56,6/13/2022,33%,Media
127,Studio,SF Bay Area,33,6/13/2022,40%,Education
128,Automox,Boulder,,6/13/2022,,Infrastruc…
129,Desktop Metal,Boston,,6/13/2022,12%,Other
130,Crypto.com,Singapore,260,6/10/2022,5%,Crypto
131,FarEye,New Delhi     N,250,6/10/2022,30%,Logistics
132,Berlin Brands Gr…,Berlin     Non-,100,6/10/2022,10%,Retail
133,Sanar,Sao Paulo     N,60,6/10/2022,20%,Healthcare
134,Freetrade,London     No,45,6/10/2022,15%,Finance
135,Albert,Los Angeles,20,6/10/2022,8%,Finance
136,Keepe,Seattle,,6/10/2022,,Real Estate
137,Liongard,Houston,,6/10/2022,,Infrastruc…
138,Ziroom,Beijing     Non,,6/10/2022,20%,Real Estate
139,OneTrust,Atlanta,950,6/9/2022,25%,Security
140,Stitch Fix,SF Bay Area,330,6/9/2022,15%,Retail
141,Convoy,Seattle,90,6/9/2022,7%,Logistics
142,Hologram,Chicago,80,6/9/2022,40%,Infrastruc…
143,The Grommet,Boston,40,6/9/2022,100%,Retail
144,Stashaway,Singapore,31,6/9/2022,14%,Finance
145,Preply,Boston,26,6/9/2022,5%,Education
146,Jellysmack,New York …,,6/9/2022,8%,Media
147,Starship,SF Bay Area,,6/9/2022,11%,Transport…
148,Trade Republic,Berlin     Non-,,6/9/2022,,Finance
,,,,,,
149,Sonder,SF Bay Area,250,6/8/2022,21%,Travel
150,Kavak,Sao Paulo     N,150,6/8/2022,,Transport…
151,iPrice Group,Kuala Lum…,50,6/8/2022,20%,Retail
152,Memmo,Stockholm,,6/8/2022,40%,Consumer
153,Truepill,SF Bay Area,,6/8/2022,15%,Healthcare
154,Cazoo,London     No,750,6/7/2022,15%,Transport…
155,Rupeek,Bengaluru,180,6/7/2022,15%,Finance
156,Lummo,Jakarta     Non,150,6/7/2022,,Marketing
157,Bird,Los Angeles,138,6/7/2022,23%,Transport…
158,ID.me,Washingt…,130,6/7/2022,,Security
159,KiwiCo,SF Bay Area,40,6/7/2022,,Retail
160,Bond,SF Bay Area,,6/7/2022,,Finance
161,CyberCube,SF Bay Area,,6/7/2022,,Finance
162,Dutchie,Bend,50,6/6/2022,7%,Other
163,Deep Instinct,New York …,,6/6/2022,10%,Security
164,Sendoso,SF Bay Area,,6/6/2022,14%,Marketing
165,Eruditus,Mumbai     No,40,6/4/2022,,Education
166,Superhuman,SF Bay Area,23,6/3/2022,22%,Consumer
167,Food52,New York …,21,6/3/2022,15%,Food
168,5B Solar,Sydney     Non,,6/3/2022,25%,Energy
169,Clubhouse,SF Bay Area,,6/3/2022,,Consumer
170,Carbon Health,SF Bay Area,250,6/2/2022,8%,Healthcare
171,Favo,Sao Paulo     N,170,6/2/2022,,Food
172,PolicyGenius,New York …,170,6/2/2022,25%,Finance
173,Yojak,Gurugram     N,140,6/2/2022,50%,Construct…
,,,,,,
174,Envato,Melbourne,100,6/2/2022,,Marketing
175,Gemini,New York …,100,6/2/2022,10%,Crypto
176,Stord,Atlanta,59,6/2/2022,8%,Logistics
177,Gather,SF Bay Area,30,6/2/2022,33%,Consumer
178,Shef,SF Bay Area,29,6/2/2022,,Food
179,IRL,SF Bay Area,25,6/2/2022,25%,Consumer
180,Esme Learning,Boston,,6/2/2022,,Education
181,Kaodim,Selangor     N,,6/2/2022,100%,Consumer
182,Rain,Manama     No,,6/2/2022,,Finance
183,Cybereason,Boston,100,6/1/2022,6%,Security
184,Udayy,Gurugram     N,100,6/1/2022,100%,Education
185,2TM,Sao Paulo     N,90,6/1/2022,12%,Crypto
186,Curve,London     No,65,6/1/2022,10%,Finance
187,Loom,SF Bay Area,34,6/1/2022,14%,Product
188,Skillshare,New York …,31,6/1/2022,,Education
189,Impala,London     No,30,6/1/2022,35%,Travel
190,Eaze,SF Bay Area,25,6/1/2022,,Consumer
191,Side,SF Bay Area,,6/1/2022,10%,Real Estate
192,Truck It In,Karachi     No,,6/1/2022,30%,Logistics
193,Playtika,Tel Aviv     No,250,5/31/2022,6%,Consumer
194,Replicated,Los Angeles,50,5/31/2022,,Infrastruc…
