Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,257.510010,257.510010,250.360001,252.130005,250.786911,6251600
2021-07-16,253.660004,254.369995,246.220001,246.850006,245.535034,4497100
2021-07-19,243.190002,247.039993,242.089996,246.800003,245.485306,6190200
2021-07-20,247.710007,251.300003,244.410004,249.820007,248.489212,3795100
2021-07-21,251.000000,257.070007,250.639999,257.000000,255.630966,3174600
2021-07-22,255.410004,256.950012,253.710007,255.449997,254.089218,3107200
2021-07-23,256.619995,257.369995,254.089996,257.309998,255.939316,2228200
2021-07-26,256.100006,257.500000,255.199997,257.019989,255.650848,1271900
2021-07-27,255.309998,255.869995,247.429993,252.479996,251.135040,3353300
2021-07-28,253.300003,257.609985,252.009995,256.989990,255.621002,3365800
2021-07-29,257.239990,262.149994,257.160004,261.809998,260.415344,3410300
2021-07-30,259.130005,263.959991,259.119995,263.140015,261.738281,3229800
2021-08-02,265.390015,267.940002,264.279999,265.000000,263.588348,4259300
2021-08-03,265.529999,267.420013,262.850006,267.399994,265.975555,3218300
2021-08-04,268.200012,271.320007,267.769989,270.320007,268.880005,3546300
2021-08-05,271.179993,271.790009,268.529999,270.019989,268.581604,2813300
2021-08-06,268.010010,270.019989,267.910004,268.570007,267.139343,2059700
2021-08-09,269.079987,269.799988,266.730011,267.760010,266.333649,1999000
2021-08-10,268.609985,268.709991,262.709991,264.329987,262.921906,3327700
2021-08-11,265.420013,265.579987,260.619995,263.630005,262.225647,2129100
2021-08-12,262.269989,262.290009,258.679993,260.750000,259.360992,4533100
2021-08-13,260.929993,262.549988,259.899994,262.450012,261.051941,2828200
2021-08-16,261.380005,262.480011,259.339996,261.320007,259.927948,2258800
2021-08-17,258.890015,258.950012,254.190002,256.369995,255.004318,5088500
2021-08-18,256.149994,257.980011,252.860001,253.059998,251.711945,2815900
2021-08-19,251.039993,256.720001,249.350006,255.279999,253.920120,4483300
2021-08-20,255.880005,257.250000,253.710007,256.380005,255.014267,3223700
2021-08-23,259.329987,264.040009,259.299988,263.750000,262.345001,4575100
2021-08-24,264.380005,265.420013,263.339996,263.929993,262.524048,2406500
2021-08-25,264.839996,268.859985,264.839996,266.799988,265.378754,5362000
2021-08-26,266.630005,268.260010,265.029999,267.209991,265.786560,2610800
2021-08-27,267.510010,272.559998,267.320007,272.040009,270.590851,3181700
2021-08-30,273.700012,275.200012,271.989990,272.899994,271.446259,2496800
2021-08-31,273.589996,273.589996,268.730011,270.829987,269.387268,2932200
2021-09-01,272.130005,272.489990,270.070007,270.410004,268.969543,2559800
2021-09-02,270.880005,273.690002,270.019989,271.070007,269.626007,1610000
2021-09-03,270.809998,274.239990,270.309998,273.290009,271.834198,1808800
2021-09-07,273.690002,273.799988,271.109985,272.730011,271.277191,1963200
2021-09-08,271.309998,271.720001,267.029999,269.130005,267.696350,2492400
2021-09-09,269.290009,271.690002,268.970001,270.239990,268.800415,2315700
2021-09-10,272.510010,276.040009,272.079987,272.279999,270.829559,3672600
2021-09-13,274.500000,274.989990,270.829987,274.320007,272.858704,2800400
2021-09-14,275.250000,276.459991,273.119995,274.500000,273.037750,2725800
2021-09-15,274.299988,275.480011,272.119995,275.459991,273.992615,2133300
2021-09-16,273.269989,276.690002,272.130005,275.859985,274.390472,2583100
2021-09-17,275.000000,275.000000,269.959991,271.000000,269.556396,3741800
2021-09-20,265.209991,266.200012,260.429993,264.399994,262.991547,3904600
2021-09-21,266.100006,266.809998,262.859985,264.959991,263.548553,2312200
2021-09-22,266.369995,270.420013,265.470001,269.739990,268.303101,2473800
2021-09-23,271.480011,273.910004,270.070007,273.130005,271.675049,2241900
2021-09-24,270.989990,272.839996,270.410004,272.390015,270.938995,1390800
2021-09-27,269.720001,272.380005,267.709991,271.420013,269.974152,2030000
2021-09-28,265.649994,267.549988,260.160004,260.489990,259.102356,5610300
2021-09-29,260.660004,261.700012,255.770004,256.559998,255.193298,4790900
2021-09-30,258.200012,260.540009,256.220001,256.269989,254.904846,3279100
2021-10-01,257.480011,257.670013,252.350006,256.489990,255.123672,3681100
2021-10-04,254.559998,254.960007,248.779999,249.809998,248.479263,4781000
2021-10-05,251.809998,255.119995,250.619995,253.320007,251.970581,3392300
2021-10-06,250.389999,254.380005,249.669998,254.089996,252.736465,3720900
2021-10-07,257.679993,260.260010,257.010010,257.250000,255.879639,2471700
2021-10-08,258.399994,258.500000,254.339996,254.750000,253.392944,2499800
2021-10-11,253.449997,257.290009,253.160004,253.229996,251.881042,2211000
2021-10-12,254.720001,255.279999,249.610001,250.669998,249.334686,4024700
2021-10-13,252.910004,254.039993,251.649994,252.809998,251.463287,2847200
2021-10-14,258.510010,260.559998,257.029999,260.399994,259.012848,3536500
2021-10-15,262.500000,262.820007,260.980011,262.579987,261.181213,2654800
2021-10-18,260.570007,264.769989,259.630005,264.649994,263.240204,2021400
2021-10-19,265.010010,267.679993,264.040009,267.679993,266.254059,2315900
2021-10-20,266.980011,267.910004,265.549988,266.500000,265.080353,2228500
2021-10-21,264.709991,269.670013,264.470001,269.540009,268.104187,1944500
2021-10-22,269.200012,271.570007,266.700012,267.160004,265.736847,2969500
2021-10-25,268.369995,270.089996,267.369995,268.510010,267.079651,1869300
2021-10-26,271.540009,272.730011,269.059998,270.040009,268.601501,2481200
2021-10-27,268.480011,270.959991,267.299988,267.760010,266.333649,3940400
2021-10-28,271.130005,272.940002,270.029999,272.859985,271.406464,2994700
2021-10-29,270.739990,273.730011,270.410004,273.640015,272.182343,2203100
2021-11-01,273.890015,276.929993,272.839996,276.779999,275.305603,2215200
2021-11-02,276.750000,280.000000,276.600006,279.829987,278.339325,2305600
2021-11-03,280.160004,282.769989,279.070007,282.600006,281.094604,3048400
2021-11-04,285.290009,296.100006,284.320007,294.299988,292.732269,7561000
2021-11-05,296.679993,299.739990,293.970001,296.600006,295.020020,4774300
2021-11-08,298.529999,303.859985,297.170013,301.940002,300.331573,4315000
2021-11-09,305.010010,305.950012,299.290009,302.339996,300.729431,5771400
2021-11-10,296.380005,300.320007,291.549988,292.799988,291.240234,5305500
2021-11-11,297.500000,298.899994,295.440002,298.070007,296.482178,2820100
