Open,Close,High,Low,Volume,Date
0,2862.58,2869,2856.3,278.00,05/26/22
0,2871.86,2883.5,2827,1567.00,05/25/22
0,2878.51,2938.68,2878.51,1272.00,05/24/22
0,2973.21,2994.75,2936.5,1328.00,05/23/22
0,2977.78,2985.3,2915.25,1697.00,05/20/22
0,2861.85,2911.5,2837,765.00,05/19/22
0,2878.16,2911.5,2833,784.00,05/18/22
0,2890.65,2890.65,2822,1289.00,05/17/22
0,2831.8,2838,2811.5,663.00,05/16/22
0,2833.36,2833.7,2737.83,1287.00,05/13/22
0,2790.13,2790.13,2722,1111.00,05/12/22
0,2777.57,2805,2760.17,1730.00,05/11/22
0,2753.65,2770.5,2710.5,1415.00,05/10/22
0,2753.33,2827.5,2748,1568.00,05/09/22
0,2841.85,2939.75,2840.5,1573.00,05/06/22
0,2903.35,3025.25,2895,561.00,05/05/22
0,2952.28,2990.5,2910.5,1388.00,05/04/22
0,2911,3034.35,2910.85,1279.00,05/03/22
0,3048.9,3067.75,3018,2063.00,04/29/22
0,3039.69,3134.75,3027.5,593.00,04/28/22
0,3104.44,3116.15,3088.55,565.00,04/27/22
0,3079.35,3156.15,3039,1365.00,04/26/22
0,3094.6,3186.75,3075.5,837.00,04/25/22
0,3246.05,3306,3244,932.00,04/22/22
0,3298.15,3298.15,3249.15,409.00,04/21/22
0,3264.25,3273,3228,698.00,04/20/22
0,3263.94,3345,3246.5,926.00,04/19/22
0,3293.25,3300.21,3248.5,1232.00,04/14/22
0,3233.26,3290.9,3229,842.00,04/13/22
0,3243.27,3282,3232.68,1214.00,04/12/22
0,3247.85,3317.5,3223.45,1214.00,04/11/22
0,3376.85,3422.25,3374.5,1638.00,04/08/22
0,3384.85,3451.85,3354.23,1747.00,04/07/22
0,3464.68,3494,3439,636.00,04/06/22
0,3464.8,3515,3440.35,1162.00,04/05/22
0,3468.05,3488,3430,706.00,04/04/22
0,3442.37,3517,3442.37,730.00,04/01/22
0,3490.85,3587,3480.28,1379.00,03/31/22
0,3551,3557.5,3487.75,473.00,03/30/22
0,3441.15,3630.99,3414.67,2008.00,03/29/22
0,3615.1,3617.15,3585,755.00,03/28/22
0,3613.84,3620,3577,620.00,03/25/22
0,3590.93,3699.63,3582.15,534.00,03/24/22
0,3683.79,3691.5,3505.5,283.00,03/23/22
0,3504.5,3567,3499.5,1306.00,03/22/22
0,3521,3551,3495.5,1879.00,03/21/22
0,3398.63,3443,3379.15,347.00,03/18/22
0,3384.5,3384.75,3294,831.00,03/17/22
0,3271.75,3360.5,3256,961.00,03/16/22
0,3277.5,3358.75,3243.25,1273.00,03/15/22
0,3330.15,3487.75,3306.35,1911.00,03/14/22
0,3489.28,3500,3390.15,1005.00,03/11/22
0,3427.5,3554.3,3306.75,948.00,03/10/22
0,3311.4,3541,3311.4,1435.00,03/09/22
0,3502.94,3794.75,3477,1350.00,03/08/22
0,3740.15,4062.5,3701.5,762.00,03/07/22
0,3849,3860.15,3804.19,1087.00,03/04/22
0,3732.3,3744,3581,1081.00,03/03/22
0,3530.07,3580.85,3478,1112.00,03/02/22
0,3462.37,3488,3381,1483.00,03/01/22
0,3378.8,3515,3368.3,1959.00,02/28/22
0,3371.98,3384.5,3298,1319.00,02/25/22
0,3397.23,3445.5,3290.15,1596.00,02/24/22
0,3298.97,3309.85,3265,1349.00,02/23/22
0,3303,3366.5,3293,1501.00,02/22/22
0,3280.6,3284,3255,660.00,02/21/22
0,3253.6,3278.81,3244.28,1761.00,02/18/22
0,3268.15,3274.18,3227.25,1180.00,02/17/22
0,3255.8,3256.2,3206,509.00,02/16/22
0,3189.65,3221.02,3173,727.00,02/15/22
0,3202.85,3231.85,3164,1600.00,02/14/22
0,3136.65,3201.25,3136.5,2483.00,02/11/22
0,3237.4,3326.28,3237.4,3772.00,02/10/22
0,3265.8,3268.5,3172.85,3097.00,02/09/22
0,3182.8,3233.5,3153,6326.00,02/08/22
0,3119.55,3132.5,3093,2420.00,02/07/22
0,3074.1,3081.5,3054.36,732.00,02/04/22
0,3027,3050.15,3002.98,960.00,02/03/22
0,2986,3049.85,2965.98,1132.00,02/02/22
0,3045.32,3061.42,3031.5,806.00,02/01/22
0,3028.65,3081,3020.85,2110.00,01/31/22
0,3082.35,3119.48,3082.35,756.00,01/28/22
0,3095.99,3115.64,3065.71,1246.00,01/27/22
0,3093.85,3116.5,3076.15,935.00,01/26/22
0,3082.38,3094.55,3030.23,1198.00,01/25/22
0,3028.5,3032.22,3010.5,666.00,01/24/22
0,3034.05,3090.35,3029,1079.00,01/21/22
0,3115.94,3115.94,3025.25,2871.00,01/20/22
0,3051.15,3052.68,3006.75,1550.00,01/19/22
0,3025.85,3034.15,3005.5,1940.00,01/18/22
0,2995.92,3001,2962.05,932.00,01/17/22
0,2964.17,2982.44,2951.15,635.00,01/14/22
0,2952.15,2972,2945.5,1312.00,01/13/22
0,2982.5,0,0,,01/12/22
0,2970,0,0,,01/11/22
0,2942.66,2954.75,2934.1,419.00,01/10/22
0,2917.23,2968.85,2902.5,859.00,01/07/22
0,2926.91,2926.91,2878.5,1224.00,01/06/22
0,2916.85,2932.65,2843,1791.00,01/05/22
0,2837.86,2839.2,2816.26,717.00,01/04/22
0,2818.45,2827.85,2807.25,681.00,12/31/21
0,2818.15,2828.28,2812,889.00,12/30/21
0,2820.45,2822.5,2801.78,1365.00,12/29/21
0,2836.85,2848.26,2814.63,912.00,12/24/21
0,2846,2846.86,2828.5,1359.00,12/23/21
0,2824.5,2839.5,2788,1827.00,12/22/21
0,2753.85,2762.5,2674.75,1019.00,12/21/21
0,2715,2730.25,2670.85,1109.00,12/20/21
0,2724.3,2742.69,2667.04,1032.00,12/17/21
0,2667,2678,2622,1072.00,12/16/21
0,2603,2612.87,2589.12,2033.00,12/15/21
0,2628.5,2665.25,2627.7,1043.00,12/14/21
0,2652.97,2656.92,2610,1691.00,12/13/21
0,2606.5,2638,2606.35,1481.00,12/10/21
0,2626.5,2640,2618,931.00,12/09/21
0,2633.35,2633.35,2619,796.00,12/08/21
0,2628.65,2628.7,2597.03,985.00,12/07/21
0,2592.85,2598.85,2584.5,707.00,12/06/21
0,2621.45,2646,2611,815.00,12/03/21
0,2607.65,2664.75,2599.8,1310.00,12/02/21
0,2664.65,2666.03,2629.61,1984.00,12/01/21
0,2626.65,2656.45,2617.53,220.00,11/30/21
0,2629.8,2657.99,2611,1100.00,11/29/21
0,2624.93,2707.6,2614.8,1226.00,11/26/21
0,2706.74,2734.85,2701,377.00,11/25/21
0,2703.85,2706.85,2683.5,1474.00,11/24/21
0,2672.85,2708,2667.1,1071.00,11/23/21
0,2684.88,2706,2647.5,548.00,11/22/21
0,2675.9,2692,2642.01,780.00,11/19/21
0,2600.29,2625,2573,914.00,11/18/21
0,2611.43,2622.35,2583.75,789.00,11/17/21
0,2570.98,2653.75,2570.98,965.00,11/16/21
0,2656.85,2711.75,2643,1016.00,11/15/21
0,2700,2707,2642.5,1412.00,11/12/21
0,2659.43,2667,2602.75,1078.00,11/11/21
0,2581.02,2592.72,2574,418.00,11/10/21
0,2561.33,2613,2545,1586.00,11/09/21
0,2605,2609.59,2540.21,854.00,11/08/21
0,2554.48,2580,2520.85,1153.00,11/05/21
0,2564.39,2676,2553.41,1473.00,11/04/21
0,2659.75,2736,2655.85,1183.00,11/03/21
0,2692.35,2719.1,2692.35,1245.00,11/02/21
0,2714.5,2767.15,2714.5,891.00,11/01/21
0,2716.25,2740.27,2669,1274.00,10/29/21
0,2762.44,2765,2605.5,1608.00,10/28/21
0,2684.23,2835,2669,2320.00,10/27/21
0,2834.37,2876.5,2828.85,1148.00,10/26/21
0,2875.5,2943.96,2873.25,882.00,10/25/21
0,2868.15,2956.85,2863,1175.00,10/22/21
0,2910.5,3118.75,2910.3,1350.00,10/21/21
0,3069.35,3095.8,3013,1338.00,10/20/21
0,3108.63,3211,3106.72,2094.00,10/19/21
0,3167.7,3200.16,3154.98,1701.00,10/18/21
0,3164.5,3190,3098.62,1447.00,10/15/21
0,3122.15,3171.85,3088,1380.00,10/14/21
0,3063.74,3100,3000.98,915.00,10/13/21
0,3063.89,3106.5,3032.5,1694.00,10/12/21
0,3049.76,3065.65,2950.5,1781.00,10/11/21
0,2957.85,2965.85,2917,944.00,10/08/21
0,2945.65,2946.15,2902.5,1292.00,10/07/21
0,2897.3,2917.41,2882.5,594.00,10/06/21
0,2921,2924.85,2894,1264.00,10/05/21
0,2916.15,2927,2873.15,501.00,10/04/21
0,2849.65,2882,2829,508.00,10/01/21
0,2858.5,2909.66,2831,2138.00,09/30/21
0,2912.85,2941,2910.76,812.00,09/29/21
0,2944.5,2945,2874.75,1243.00,09/28/21
0,2891.1,2915.73,2883.35,1116.00,09/27/21
0,2926.85,2935.5,2891.25,845.00,09/24/21
0,2949.5,2961.56,2949.25,1683.00,09/23/21
0,2938.35,2942,2897.5,674.00,09/22/21
0,2846,2896.5,2838,903.00,09/21/21
0,2863,2883,2836,1005.00,09/20/21
0,2886.15,2930.75,2874.25,1436.00,09/17/21
0,2882.05,2899.2,2854.5,730.00,09/16/21
0,2893,2923,2837.75,3500.00,09/15/21
0,2830.85,2888.38,2826,1557.00,09/14/21
0,2891.59,2992.46,2889.21,2782.00,09/13/21
0,2916.07,2928.35,2872.38,1240.00,09/10/21
0,2839.5,2841.71,2808.25,1025.00,09/09/21
0,2795.89,2806.85,2772,1025.00,09/08/21
0,2756.85,2776.5,2756.8,676.00,09/07/21
0,2764.51,2779.64,2756,769.00,09/06/21
0,2727.15,2728,2680.85,1087.00,09/03/21
0,2701.85,2729.75,2694.85,620.00,09/02/21
0,2689.85,2713.87,2664,628.00,09/01/21
0,2709.57,2719.5,2689,1580.00,08/31/21
0,2649.5,2670,2633.75,1535.00,08/27/21
0,2619.5,2632.16,2600,1517.00,08/26/21
0,2617.3,2631.26,2604.25,1036.00,08/25/21
0,2614.85,2627.15,2606.7,2020.00,08/24/21
0,2602.15,2602.15,2571.75,1050.00,08/23/21
0,2565.87,2568,2546.5,741.00,08/20/21
0,2538.95,2568.75,2520,1293.00,08/19/21
0,2555.15,2583,2554.85,979.00,08/18/21
0,2599.5,2632,2599.3,1012.00,08/17/21
0,2605.22,2626.15,2600,1602.00,08/16/21
0,2599.85,2600.1,2588.75,905.00,08/13/21
0,2582.35,2600.15,2575.68,626.00,08/12/21
0,2585.7,2591,2577.35,464.00,08/11/21
0,2574.7,2585.75,2557.25,567.00,08/10/21
0,2547.45,2561,2545.18,619.00,08/09/21
0,2598.5,2621.65,2598.5,280.00,08/06/21
0,2587.8,2589.2,2571.25,1061.00,08/05/21
0,2563.01,2581.75,2563.01,573.00,08/04/21
0,2586,2601,2585.8,861.00,08/03/21
0,2615.85,2628.65,2615.15,677.00,08/02/21
0,2590.15,2633.3,2590,2775.00,07/30/21
0,2582.74,2591.65,2538.15,2106.00,07/29/21
0,2526.28,2537.2,2491.06,1381.00,07/28/21
0,2500.5,2521.5,2485.1,784.00,07/27/21
0,2522.15,2522.15,2492.85,685.00,07/26/21
0,2496.74,2504.85,2478.75,471.00,07/23/21
0,2462.15,2483.15,2455.62,665.00,07/22/21
0,2456,2460.96,2440.5,318.00,07/21/21
0,2455.09,2465.65,2436.08,1234.00,07/20/21
0,2432.85,2465.1,2425.35,1668.00,07/19/21
0,2507.68,2524.75,2488.35,1106.00,07/16/21
0,2519,2533.1,2510.3,1164.00,07/15/21
0,2531.05,2534.15,2521.25,710.00,07/14/21
0,2529.05,2535.6,2486.75,626.00,07/13/21
0,2489.5,2492.5,2468.35,1107.00,07/12/21
0,2503.32,2503.32,2457,473.00,07/09/21
0,2453.85,2461.5,2441.9,1171.00,07/08/21
0,2510,2528.15,2493.88,600.00,07/07/21
0,2530,2556.89,2516.18,1244.00,07/06/21
0,2555.85,2572.25,2555.8,421.00,07/05/21
0,2543.65,2562.15,2523.1,1360.00,07/02/21
0,2512,2512,2497.35,306.00,07/01/21
0,2505.1,2551,2505,1019.00,06/30/21
0,2551.5,2551.65,2512.75,844.00,06/29/21
0,2486.63,2505,2477.35,789.00,06/28/21
0,2485.85,2492,2440.05,2065.00,06/25/21
0,2430.15,2440,2423.85,1143.00,06/24/21
0,2434.77,2439.65,2415.85,472.00,06/23/21
0,2407.83,2425.15,2402.85,1162.00,06/22/21
0,2372,2405.63,2357.05,327.00,06/21/21
0,2384.85,2397.5,2378.55,462.00,06/18/21
0,2361.65,2455.55,2361.65,304.00,06/17/21
0,2451.05,2476.15,2443.89,526.00,06/16/21
0,2465.15,2476.95,2442.85,1238.00,06/15/21
0,2494,2494.2,2472,1321.00,06/14/21
0,2460,2502,2460,457.00,06/11/21
0,2460.29,2476,2439.13,747.00,06/10/21
0,2458.65,2458.7,2442.17,796.00,06/09/21
0,2431.45,2443.4,2415,358.00,06/08/21
0,2425.85,2439.17,2418.35,547.00,06/07/21
0,2442.15,2455.2,2395.85,688.00,06/04/21
0,2408.59,2449.75,2400.67,724.00,06/03/21
0,2439.05,2480.75,2439.05,731.00,06/02/21
0,2503,2503,2468.85,1303.00,06/01/21
0,2483,2489.75,2433.85,789.00,05/28/21
0,2480.8,2481.2,2420.85,1310.00,05/27/21
0,2404.15,2404.15,2370.85,1357.00,05/26/21
0,2367.13,2381.6,2351.75,1293.00,05/25/21
0,2387,2396.14,2315,954.00,05/24/21
0,2382,2434.15,2361.15,826.00,05/21/21
0,2357.65,2437.45,2357.65,559.00,05/20/21
0,2426.56,2476.25,2407.98,842.00,05/19/21
0,2484.75,2513.25,2466.25,1176.00,05/18/21
0,2504.35,2504.35,2460.57,1078.00,05/17/21
0,2454.9,2465.75,2408.75,720.00,05/14/21
0,2451.7,2507.75,2428.65,745.00,05/13/21
0,2492.65,2539.25,2480.65,825.00,05/12/21
0,2527.72,2564.85,2520.85,754.00,05/11/21
0,2525.59,2598.62,2520.75,1165.00,05/10/21
0,2540.48,2547.85,2508.25,685.00,05/07/21
0,2488.33,2491,2441.25,680.00,05/06/21
0,2444.7,2444.7,2434.03,968.00,05/05/21
0,2428.75,2438.85,2427.5,1323.00,05/04/21
0,2418.65,2438.15,2397,1314.00,04/30/21
0,2416.8,2429.5,2407.75,1130.00,04/29/21
0,2399.5,2399.5,2396.04,595.00,04/28/21
